Equipment_Dam,Model.Suffix_Dam,Workorder_Dam,CURE END POSITION X Collect Result_Dam,CURE END POSITION Z Collect Result_Dam,CURE END POSITION Θ Collect Result_Dam,CURE SPEED Collect Result_Dam,CURE START POSITION X Collect Result_Dam,CURE START POSITION Θ Collect Result_Dam,DISCHARGED SPEED OF RESIN Collect Result_Dam,DISCHARGED TIME OF RESIN(Stage1) Collect Result_Dam,DISCHARGED TIME OF RESIN(Stage2) Collect Result_Dam,DISCHARGED TIME OF RESIN(Stage3) Collect Result_Dam,Dispense Volume(Stage1) Collect Result_Dam,Dispense Volume(Stage2) Collect Result_Dam,Dispense Volume(Stage3) Collect Result_Dam,HEAD NORMAL COORDINATE X AXIS(Stage2) Collect Result_Dam,HEAD NORMAL COORDINATE X AXIS(Stage3) Collect Result_Dam,HEAD NORMAL COORDINATE Y AXIS(Stage1) Collect Result_Dam,HEAD NORMAL COORDINATE Y AXIS(Stage2) Collect Result_Dam,HEAD NORMAL COORDINATE Y AXIS(Stage3) Collect Result_Dam,HEAD NORMAL COORDINATE Z AXIS(Stage1) Collect Result_Dam,HEAD NORMAL COORDINATE Z AXIS(Stage2) Collect Result_Dam,HEAD NORMAL COORDINATE Z AXIS(Stage3) Collect Result_Dam,HEAD Standby Position X Collect Result_Dam,HEAD Standby Position Y Collect Result_Dam,HEAD Standby Position Z Collect Result_Dam,Head Clean Position X Collect Result_Dam,Head Clean Position Y Collect Result_Dam,Head Clean Position Z Collect Result_Dam,Head Purge Position X Collect Result_Dam,Head Purge Position Y Collect Result_Dam,Head Purge Position Z Collect Result_Dam,Head Zero Position X Collect Result_Dam,Head Zero Position Y Collect Result_Dam,Head Zero Position Z Collect Result_Dam,Machine Tact time Collect Result_Dam,PalletID Collect Result_Dam,Production Qty Collect Result_Dam,Receip No Collect Result_Dam,Stage1 Circle1 Distance Speed Collect Result_Dam,Stage1 Circle2 Distance Speed Collect Result_Dam,Stage1 Circle3 Distance Speed Collect Result_Dam,Stage1 Circle4 Distance Speed Collect Result_Dam,Stage1 Line1 Distance Speed Collect Result_Dam,Stage1 Line2 Distance Speed Collect Result_Dam,Stage1 Line3 Distance Speed Collect Result_Dam,Stage1 Line4 Distance Speed Collect Result_Dam,Stage2 Circle1 Distance Speed Collect Result_Dam,Stage2 Circle2 Distance Speed Collect Result_Dam,Stage2 Circle3 Distance Speed Collect Result_Dam,Stage2 Circle4 Distance Speed Collect Result_Dam,Stage2 Line1 Distance Speed Collect Result_Dam,Stage2 Line2 Distance Speed Collect Result_Dam,Stage2 Line3 Distance Speed Collect Result_Dam,Stage2 Line4 Distance Speed Collect Result_Dam,Stage3 Circle1 Distance Speed Collect Result_Dam,Stage3 Circle2 Distance Speed Collect Result_Dam,Stage3 Circle3 Distance Speed Collect Result_Dam,Stage3 Circle4 Distance Speed Collect Result_Dam,Stage3 Line1 Distance Speed Collect Result_Dam,Stage3 Line2 Distance Speed Collect Result_Dam,Stage3 Line3 Distance Speed Collect Result_Dam,Stage3 Line4 Distance Speed Collect Result_Dam,THICKNESS 1 Collect Result_Dam,THICKNESS 2 Collect Result_Dam,THICKNESS 3 Collect Result_Dam,WorkMode Collect Result_Dam,Model.Suffix_AutoClave,Workorder_AutoClave,1st Pressure Collect Result_AutoClave,1st Pressure 1st Pressure Unit Time_AutoClave,2nd Pressure Collect Result_AutoClave,2nd Pressure Unit Time_AutoClave,3rd Pressure Collect Result_AutoClave,3rd Pressure Unit Time_AutoClave,Chamber Temp. Collect Result_AutoClave,Chamber Temp. Unit Time_AutoClave,Chamber Temp. Judge Value_AutoClave,Equipment_Fill1,Model.Suffix_Fill1,Workorder_Fill1,DISCHARGED SPEED OF RESIN Collect Result_Fill1,DISCHARGED TIME OF RESIN(Stage1) Collect Result_Fill1,DISCHARGED TIME OF RESIN(Stage2) Collect Result_Fill1,DISCHARGED TIME OF RESIN(Stage3) Collect Result_Fill1,Dispense Volume(Stage1) Collect Result_Fill1,Dispense Volume(Stage2) Collect Result_Fill1,Dispense Volume(Stage3) Collect Result_Fill1,HEAD NORMAL COORDINATE X AXIS(Stage2) Collect Result_Fill1,HEAD NORMAL COORDINATE X AXIS(Stage3) Collect Result_Fill1,HEAD NORMAL COORDINATE Y AXIS(Stage1) Collect Result_Fill1,HEAD NORMAL COORDINATE Y AXIS(Stage2) Collect Result_Fill1,HEAD NORMAL COORDINATE Y AXIS(Stage3) Collect Result_Fill1,HEAD NORMAL COORDINATE Z AXIS(Stage1) Collect Result_Fill1,HEAD NORMAL COORDINATE Z AXIS(Stage2) Collect Result_Fill1,HEAD NORMAL COORDINATE Z AXIS(Stage3) Collect Result_Fill1,HEAD Standby Position X Collect Result_Fill1,HEAD Standby Position Y Collect Result_Fill1,HEAD Standby Position Z Collect Result_Fill1,Head Clean Position X Collect Result_Fill1,Head Clean Position Y Collect Result_Fill1,Head Clean Position Z Collect Result_Fill1,Head Purge Position X Collect Result_Fill1,Head Purge Position Y Collect Result_Fill1,Head Purge Position Z Collect Result_Fill1,Machine Tact time Collect Result_Fill1,PalletID Collect Result_Fill1,Production Qty Collect Result_Fill1,Receip No Collect Result_Fill1,WorkMode Collect Result_Fill1,Equipment_Fill2,Model.Suffix_Fill2,Workorder_Fill2,CURE END POSITION X Collect Result_Fill2,CURE END POSITION Z Collect Result_Fill2,CURE SPEED Collect Result_Fill2,CURE STANDBY POSITION Z Collect Result_Fill2,CURE START POSITION X Collect Result_Fill2,CURE START POSITION Z Collect Result_Fill2,HEAD NORMAL COORDINATE X AXIS(Stage2) Collect Result_Fill2,HEAD NORMAL COORDINATE X AXIS(Stage3) Collect Result_Fill2,HEAD NORMAL COORDINATE Y AXIS(Stage1) Collect Result_Fill2,HEAD NORMAL COORDINATE Y AXIS(Stage2) Collect Result_Fill2,HEAD NORMAL COORDINATE Y AXIS(Stage3) Collect Result_Fill2,HEAD NORMAL COORDINATE Z AXIS(Stage1) Collect Result_Fill2,HEAD NORMAL COORDINATE Z AXIS(Stage2) Collect Result_Fill2,HEAD NORMAL COORDINATE Z AXIS(Stage3) Collect Result_Fill2,HEAD Standby Position X Collect Result_Fill2,HEAD Standby Position Y Collect Result_Fill2,HEAD Standby Position Z Collect Result_Fill2,Head Clean Position X Collect Result_Fill2,Head Clean Position Y Collect Result_Fill2,Head Clean Position Z Collect Result_Fill2,Head Purge Position X Collect Result_Fill2,Head Purge Position Y Collect Result_Fill2,Head Purge Position Z Collect Result_Fill2,Machine Tact time Collect Result_Fill2,PalletID Collect Result_Fill2,Production Qty Collect Result_Fill2,Receip No Collect Result_Fill2,WorkMode Collect Result_Fill2,target
Dam dispenser #1,AJX75334501,3G1XA483-1,240.0,2.5,-90,70,1030,-90,10,9.7,3.9,9.6,0.67,0.27,0.67,463.0,160.5,377.5,377.0,377.5,284.8,284.8,284.8,257.0,66,0,127.5,66.0,133.5,257.0,66,133.5,505.0,303.5,265.0,92.1,2.0,27,1,9000,9000,9000,9000,9000,9000,9000,9000,12000,12000,12000,12000,12000,12000,12000,12000,9000,9000,9000,9000,9000,9000,9000,9000,0,0.0,0.0,7.0,AJX75334501,3G1XA483-1,0.314,300,0.314,60,0.5,150,49,510,NG,Fill1 dispenser #1,AJX75334501,3G1XA483-1,10.9,13.3,5.0,13.2,12.63,4.75,12.54,460.0,157.5,430.2,430.5,430.5,244.3,244.3,244.3,289.0,50,0,123.4,50.0,92.2,289.0,50,85,91.0,2.0,27,1,7,Fill2 dispenser #1,AJX75334501,3G1XA483-1,240,32,50,32,1020,32,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270.0,50,-10,119,50,91.8,270.0,50,85,19.6,2.0,27,1,0,AbNormal
Dam dispenser #1,AJX75334501,3H1X7981-1,240.0,2.5,-90,70,1030,-90,10,9.6,4.9,9.7,0.67,0.34,0.67,462.5,159.5,377.5,377.0,377.5,284.8,284.8,284.8,257.0,66,0,127.5,66.0,133.5,257.0,66,133.5,505.0,300.0,265.0,88.4,4.0,64,1,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,0,0.0,0.0,7.0,AJX75334501,3H1X7981-1,0.309,240,0.309,120,0.5,120,51,480,OK,Fill1 dispenser #1,AJX75334501,3H1X7981-1,10.6,13.4,3.7,13.4,12.73,3.51,12.73,458.5,157.0,430.2,430.5,430.5,244.4,244.4,244.4,289.0,50,0,123.4,50.0,92.2,289.0,50,85,90.0,4.0,64,1,7,Fill2 dispenser #1,AJX75334501,3H1X7981-1,240,32,50,33,1020,33,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270.0,50,-10,119,50,91.8,270.0,50,85,19.3,4.0,64,1,0,Normal
Dam dispenser #1,AJX75334501,3G1XA482-1,240.0,2.5,-90,70,1030,-90,10,9.6,3.9,9.7,0.67,0.27,0.67,463.0,160.5,377.5,377.0,377.5,284.8,284.8,284.8,257.0,66,0,127.5,66.0,133.5,257.0,66,133.5,505.0,303.5,265.0,92.2,1.0,60,1,9000,9000,9000,9000,9000,9000,9000,9000,12000,12000,12000,12000,12000,12000,12000,12000,9000,9000,9000,9000,9000,9000,9000,9000,0,0.0,0.0,7.0,AJX75334501,3G1XA482-1,0.31,300,0.312,60,0.499,150,55,510,OK,Fill1 dispenser #1,AJX75334501,3G1XA482-1,10.9,13.2,5.0,13.1,12.54,4.75,12.44,460.0,157.5,430.2,430.5,430.5,244.3,244.3,244.3,289.0,50,0,123.4,50.0,92.2,289.0,50,85,90.9,1.0,60,1,7,Fill2 dispenser #1,AJX75334501,3G1XA482-1,240,32,50,32,1020,32,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270.0,50,-10,119,50,91.8,270.0,50,85,18.7,1.0,60,1,0,Normal
Dam dispenser #2,AJX75334501,3M1XC580-1,1000.0,12.5,90,70,280,90,16,13.1,6.6,13.2,1.44,0.72,1.45,164.2,467.1,553.6,1271.8,1270.7,1271.8,282.343,282.343,282.343,257,66,0.0,127.5,66.0,130.85,257,66.0,130.85,505.0,300.0,265.02,56.9,13,84,1,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,0.0,0.0,0.0,AJX75334501,3M1XC580-1,0.3,241,0.301,1,0.402,121,46,363,NG,Fill1 dispenser #2,AJX75334501,3M1XC580-1,10.6,13.3,4.8,13.4,12.63,4.56,12.73,837.9,458.8,157.0,1323.5,1322.5,1323.1,244.3,244.3,244.3,289,50,0.0,123.4,50.0,92.2,289,50,145.0,55.0,13,84,1,Fill2 dispenser #2,AJX75334501,3M1XC580-1,240,33,50,33,1020,33,305.0,499.8,694.0,1324.2,1324.2,1324.2,243.5,243.5,243.5,270,50,-10,119,50.0,91.8,270,50,85.0,19.5,13,84,1,Normal
Dam dispenser #2,AJX75334501,3L1X1373-1,1000.0,12.5,90,70,280,90,10,21.3,10.5,21.4,1.49,0.73,1.49,164.2,467.1,553.6,1271.8,1270.7,1271.8,282.15,282.15,282.15,257,66,0.0,127.5,66.0,130.85,257,66.0,130.85,505.0,300.0,265.0,72.5,16,3,1,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0.0,0.0,0.0,AJX75334501,3L1X1373-1,0.303,241,0.305,90,0.498,121,53,452,OK,Fill1 dispenser #2,AJX75334501,3L1X1373-1,10.6,13.5,3.6,13.6,12.82,3.42,12.92,837.7,458.8,157.0,1323.5,1322.5,1323.1,244.3,244.3,244.3,289,50,0.0,123.4,50.0,92.2,289,50,145.0,67.9,16,3,1,Fill2 dispenser #2,AJX75334501,3L1X1373-1,240,33,50,33,1020,33,305.0,499.8,694.0,1324.2,1324.2,1324.2,243.5,243.5,243.5,270,50,-10,119,50.0,91.8,270,50,85.0,19.6,16,3,1,Normal
Dam dispenser #1,AJX75334501,4A1XB972-1,240.0,2.5,-90,70,1030,-90,16,13.2,7.5,13.2,0.92,0.52,0.92,550.4,463.7,161.3,377.6,377.1,377.6,281.095,281.095,281.095,257,66,0.0,127.5,66.0,130.85,257,66.0,130.85,505.0,300.0,265.02,54.3,8,91,1,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,5500,6500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,0.0,0.0,0.0,AJX75334501,4A1XB972-1,0.298,241,0.492,1,0.497,121,49,363,NG,Fill1 dispenser #1,AJX75334501,4A1XB972-1,10.6,12.8,3.6,12.9,12.16,3.42,12.25,837.9,457.9,156.5,430.8,430.5,431.1,244.375,244.375,244.375,289,50,0.0,123.4,50.0,92.2,289,50,128.0,54.4,8,91,1,Fill2 dispenser #1,AJX75334501,4A1XB972-1,240,33,50,33,1020,33,835.5,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270,50,-10,119,50.0,91.8,270,50,85.0,19.6,8,91,1,AbNormal
Dam dispenser #2,AJX75334502,3K1X7331-1,1000.0,12.5,90,70,280,90,10,21.3,8.4,21.3,1.49,0.58,1.49,465.5,552.0,1271.8,1270.7,1271.8,282.15,282.15,282.15,257.0,66,0,127.5,66.0,130.85,257.0,66,130.85,505.0,300.0,265.0,70.4,14.0,224,1,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,4000,4000,0,0.0,0.0,7.0,AJX75334502,3K1X7331-1,0.301,241,0.301,121,0.498,121,50,483,OK,Fill1 dispenser #1,AJX75334502,3K1X7331-1,10.6,13.5,3.6,13.5,12.82,3.42,12.82,458.5,157.0,430.5,430.5,430.8,244.4,244.4,244.4,289.0,50,0,123.4,50.0,92.2,289.0,50,145,71.7,4.0,249,1,7,Fill2 dispenser #1,AJX75334502,3K1X7331-1,240,33,50,33,1020,33,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270.0,50,-10,119,50,91.8,270.0,50,85,19.7,4.0,249,1,0,AbNormal
Dam dispenser #2,AJX75334501,3L1XA995-1,1000.0,12.5,90,70,280,90,16,13.2,6.6,13.2,1.45,0.72,1.45,164.2,467.1,553.6,1271.8,1270.7,1271.8,282.15,282.15,282.15,257,66,0.0,127.5,66.0,130.85,257,66.0,130.85,505.0,300.0,265.0,56.8,15,89,1,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,0.0,0.0,0.0,AJX75334501,3L1XA995-1,0.309,241,0.311,1,0.499,121,53,363,OK,Fill1 dispenser #2,AJX75334501,3L1XA995-1,10.6,13.5,3.9,13.5,12.82,3.7,12.82,837.7,458.8,157.0,1323.5,1322.5,1323.1,244.3,244.3,244.3,289,50,0.0,123.4,50.0,92.2,289,50,145.0,56.5,15,89,1,Fill2 dispenser #2,AJX75334501,3L1XA995-1,240,33,50,33,1020,33,305.0,499.8,694.0,1324.2,1324.2,1324.2,243.5,243.5,243.5,270,50,-10,119,50.0,91.8,270,50,85.0,19.7,15,89,1,AbNormal
Dam dispenser #1,AJX75334501,3H1X9884-1,240.0,2.5,-90,70,1030,-90,10,9.7,4.9,9.7,0.67,0.34,0.67,462.5,159.5,377.5,377.0,377.5,284.8,284.8,284.8,257.0,66,0,127.5,66.0,133.5,257.0,66,133.5,505.0,300.0,265.0,88.4,5.0,12,1,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,0,0.0,0.0,7.0,AJX75334501,3H1X9884-1,0.31,240,0.31,120,0.501,120,55,480,OK,Fill1 dispenser #1,AJX75334501,3H1X9884-1,10.6,13.3,3.6,13.4,12.63,3.42,12.73,458.5,157.0,430.5,431.1,430.8,244.4,244.4,244.4,289.0,50,0,123.4,50.0,92.2,289.0,50,85,89.9,5.0,12,1,7,Fill2 dispenser #1,AJX75334501,3H1X9884-1,240,32,50,33,1020,33,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270.0,50,-10,119,50,91.8,270.0,50,85,20.0,5.0,12,1,0,Normal
Dam dispenser #1,AJX75334501,4B1XD470-2,240.0,2.5,-90,70,1030,-90,16,14.2,8.1,14.3,0.99,0.56,1.0,550.6,463.9,161.5,377.6,377.1,378.0,274.4,274.4,274.4,257,66,0.0,127.5,66.0,124.0,257,66.0,130.85,505.0,300.0,265.02,57.0,1,275,1,6000,6000,6000,6000,6000,6000,6000,6000,5500,5500,5500,5500,5500,5500,5500,5500,6000,6000,6000,6000,6000,6000,6000,6000,-0.054,-0.219,0.007,AJX75334501,4B1XD470-2,0.314,241,0.58,1,0.596,121,56,363,OK,Fill1 dispenser #1,AJX75334501,4B1XD470-2,10.6,12.9,3.5,12.9,12.25,3.32,12.25,838.4,458.4,157.0,430.8,430.5,431.1,244.618,244.618,244.618,289,50,0.0,123.4,50.0,92.2,289,50,128.0,52.6,1,275,1,Fill2 dispenser #1,AJX75334501,4B1XD470-2,240,33,50,33,1020,33,835.5,458.0,156.0,428.0,427.9,428.0,243.7,243.7,243.7,270,50,-10,119,50.0,91.8,270,50,85.0,20.3,1,275,1,Normal
